date,admin1,admin2,market,latitude,longitude,category,commodity,unit,price,usdprice
2012-06-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.75,2.4645
2012-06-15,,,National Average,,,pulses and nuts,Pulses,KG,1.06,1.4942
2012-07-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.17,0.2394
2012-07-15,,,National Average,,,cereals and tubers,Potatoes,KG,0.58,0.8126
2012-07-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.12,1.5843
2012-07-15,,,National Average,,,"meat, fish and eggs",Eggs,2 KG,3.52,4.9641
2012-07-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,9.18,12.9321
2012-07-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,2.27,3.1897
2012-07-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, whole)",KG,1.71,2.4025
2012-07-15,,,National Average,,,"meat, fish and eggs",Meat (lamb),KG,11.53,16.2372
2012-07-15,,,National Average,,,milk and dairy,"Cheese (white, boiled)",KG,4.31,6.0696
2012-07-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,1.17,1.6406
2012-07-15,,,National Average,,,miscellaneous food,Sugar,KG,0.8,1.1238
2012-07-15,,,National Average,,,oil and fats,Oil (olive),KG,5.79,8.1482
2012-07-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.99,2.801
2012-07-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,1.48,2.0786
2012-07-15,,,National Average,,,pulses and nuts,Chickpeas,KG,1.91,2.6856
2012-07-15,,,National Average,,,pulses and nuts,Lentils,KG,1.24,1.7491
2012-07-15,,,National Average,,,pulses and nuts,Pulses,KG,1.5,2.1152
2012-07-15,,,National Average,,,vegetables and fruits,Apples (red),KG,1.92,2.7053
2012-07-15,,,National Average,,,vegetables and fruits,Bananas,KG,0.82,1.1618
2012-07-15,,,National Average,,,vegetables and fruits,Cucumbers,KG,0.61,0.8562
2012-07-15,,,National Average,,,vegetables and fruits,Garlic,KG,1.95,2.7461
2012-07-15,,,National Average,,,vegetables and fruits,Onions,KG,0.51,0.7154
2012-07-15,,,National Average,,,vegetables and fruits,Oranges (big size),KG,1.22,1.7181
2012-07-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,0.54,0.7576
2012-08-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.17,0.2394
