date,admin1,admin2,market,latitude,longitude,category,commodity,unit,price,usdprice
2017-01-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,oil and fats,Oil (olive),L,6.0,8.4496
2017-01-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,oil and fats,Oil (vegetable),1.8 L,1.82,2.5588
2017-01-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,pulses and nuts,"Beans (fava, dry)",KG,1.6,2.2532
2017-01-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,pulses and nuts,Chickpeas,KG,2.17,3.0573
2017-01-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,pulses and nuts,Lentils,KG,1.53,2.1532
2017-01-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,vegetables and fruits,Apples (red),KG,1.36,1.9152
2017-01-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,vegetables and fruits,Bananas,KG,0.86,1.2083
2017-01-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,vegetables and fruits,Cucumbers,KG,0.66,0.9323
2017-01-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,vegetables and fruits,Garlic,KG,2.98,4.1938
2017-01-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,vegetables and fruits,Onions,KG,0.64,0.9055
2017-01-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,vegetables and fruits,Spinach,KG,0.28,0.3887
2017-01-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,vegetables and fruits,Tomatoes,KG,0.26,0.3647
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,cereals and tubers,Bread (pita),KG,0.17,0.2352
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,cereals and tubers,Bulgur,KG,1.01,1.4223
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,cereals and tubers,Pasta,300 G,0.32,0.4549
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,cereals and tubers,Potatoes,KG,1.0,1.4054
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,"meat, fish and eggs",Eggs,2 KG,2.82,3.9741
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,"meat, fish and eggs",Meat (beef),KG,8.75,12.3223
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,"meat, fish and eggs",Meat (chicken),KG,2.85,4.0135
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,"meat, fish and eggs","Meat (chicken, whole)",KG,1.49,2.0955
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,"meat, fish and eggs",Meat (lamb),KG,11.08,15.6077
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,milk and dairy,Cheese (picon),160 G,0.75,1.0604
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,milk and dairy,"Cheese (white, boiled)",KG,5.02,7.0751
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,milk and dairy,Milk (pasteurized),L,1.1,1.5491
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,miscellaneous food,Salt (iodised),750 G,0.26,0.3633
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,miscellaneous food,Sugar,KG,0.71,1.0013
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,non-food,Fuel (gas),12.5 KG,7.0,9.8578
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,non-food,Fuel (kerosene),L,0.47,0.6548
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,non-food,Fuel (petrol-gasoline),L,0.62,0.8731
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,oil and fats,Oil (olive),L,6.25,8.8044
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,oil and fats,Oil (vegetable),1.8 L,1.97,2.7729
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,pulses and nuts,"Beans (fava, dry)",KG,1.45,2.0392
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,pulses and nuts,Chickpeas,KG,2.04,2.8729
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,pulses and nuts,Lentils,KG,1.56,2.1927
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,vegetables and fruits,Apples (red),KG,1.41,1.9856
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,vegetables and fruits,Cucumbers,KG,0.64,0.9013
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,vegetables and fruits,Garlic,KG,3.22,4.5374
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,vegetables and fruits,Onions,KG,0.61,0.8534
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,vegetables and fruits,Spinach,KG,0.42,0.5915
2017-01-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857422,35.35102844238281,vegetables and fruits,Tomatoes,KG,0.26,0.3591
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,cereals and tubers,Bread (pita),KG,0.17,0.2394
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,cereals and tubers,Bulgur,KG,0.95,1.3378
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,cereals and tubers,Pasta,300 G,0.35,0.4929
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,cereals and tubers,Potatoes,KG,0.95,1.3378
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,cereals and tubers,Rice (imported),KG,1.19,1.6758
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,"meat, fish and eggs",Eggs,2 KG,2.75,3.8727
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,"meat, fish and eggs","Fish (tuna, canned)",170 G,0.86,1.2097
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,"meat, fish and eggs",Meat (beef),KG,7.38,10.3859
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,"meat, fish and eggs",Meat (chicken),KG,2.24,3.1517
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,"meat, fish and eggs","Meat (chicken, whole)",KG,1.6,2.2476
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,"meat, fish and eggs",Meat (lamb),KG,8.5,11.9702
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,milk and dairy,Cheese (picon),160 G,0.65,0.9097
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,milk and dairy,"Cheese (white, boiled)",KG,5.85,8.2383
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,milk and dairy,Milk (pasteurized),L,1.0,1.4083
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,miscellaneous food,Salt (iodised),750 G,0.24,0.3436
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,miscellaneous food,Sugar,KG,0.83,1.1674
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,non-food,Fuel (gas),12.5 KG,7.0,9.8578
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,non-food,Fuel (kerosene),L,0.47,0.6548
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,non-food,Fuel (petrol-gasoline),L,0.62,0.8731
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,oil and fats,Oil (olive),L,5.5,7.7454
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,oil and fats,Oil (vegetable),1.8 L,2.0,2.8137
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,pulses and nuts,"Beans (fava, dry)",KG,1.62,2.2814
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,pulses and nuts,Chickpeas,KG,2.75,3.8727
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,pulses and nuts,Lentils,KG,1.04,1.4604
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,vegetables and fruits,Apples (red),KG,1.52,2.1476
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,vegetables and fruits,Bananas,KG,0.75,1.0562
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,vegetables and fruits,Cucumbers,KG,0.55,0.7745
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,vegetables and fruits,Garlic,KG,2.5,3.5207
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,vegetables and fruits,Onions,KG,0.55,0.7745
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,vegetables and fruits,Spinach,KG,0.39,0.5492
2017-01-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,vegetables and fruits,Tomatoes,KG,0.33,0.4647
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,cereals and tubers,Bread (pita),KG,0.17,0.2394
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,cereals and tubers,Bulgur,KG,1.02,1.4364
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,cereals and tubers,Pasta,300 G,0.4,0.5633
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,cereals and tubers,Potatoes,KG,1.0,1.4026
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,cereals and tubers,Rice (imported),KG,1.25,1.7603
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,"meat, fish and eggs",Eggs,2 KG,3.01,4.2375
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,"meat, fish and eggs","Fish (tuna, canned)",170 G,1.0,1.4083
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,"meat, fish and eggs",Meat (beef),KG,7.0,9.8578
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,"meat, fish and eggs",Meat (chicken),KG,2.52,3.5446
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,"meat, fish and eggs","Meat (chicken, whole)",KG,1.52,2.1476
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,"meat, fish and eggs",Meat (lamb),KG,8.67,12.2054
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,milk and dairy,Cheese (picon),160 G,0.75,1.0562
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,milk and dairy,"Cheese (white, boiled)",KG,4.55,6.4076
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,milk and dairy,Milk (pasteurized),L,1.1,1.5491
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,miscellaneous food,Salt (iodised),750 G,0.25,0.3521
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,miscellaneous food,Sugar,KG,0.76,1.0632
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,non-food,Fuel (gas),12.5 KG,7.0,9.8578
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,non-food,Fuel (kerosene),L,0.47,0.6548
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,non-food,Fuel (petrol-gasoline),L,0.62,0.8731
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,oil and fats,Oil (olive),L,4.7,6.6188
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,oil and fats,Oil (vegetable),1.8 L,1.83,2.5729
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,pulses and nuts,"Beans (fava, dry)",KG,1.32,1.8659
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,pulses and nuts,Chickpeas,KG,1.8,2.5419
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,pulses and nuts,Lentils,KG,1.74,2.4433
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,vegetables and fruits,Apples (red),KG,1.07,1.504
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,vegetables and fruits,Bananas,KG,0.78,1.0914
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,vegetables and fruits,Cucumbers,KG,0.7,0.983
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,vegetables and fruits,Garlic,KG,2.25,3.1686
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,vegetables and fruits,Onions,KG,0.57,0.8041
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,vegetables and fruits,Oranges (big size),KG,0.51,0.7126
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,vegetables and fruits,Spinach,KG,0.45,0.6337
2017-01-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,vegetables and fruits,Tomatoes,KG,0.23,0.3267
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,cereals and tubers,Bread (pita),KG,0.17,0.2394
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,cereals and tubers,Bulgur,KG,0.92,1.2914
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,cereals and tubers,Pasta,300 G,0.4,0.5633
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,cereals and tubers,Potatoes,KG,0.81,1.1477
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,cereals and tubers,Rice (imported),KG,1.25,1.7603
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,"meat, fish and eggs",Eggs,2 KG,2.83,3.9783
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,"meat, fish and eggs","Fish (tuna, canned)",170 G,0.98,1.3787
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,"meat, fish and eggs",Meat (beef),KG,7.21,10.1507
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,"meat, fish and eggs",Meat (chicken),KG,2.0,2.8165
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,"meat, fish and eggs","Meat (chicken, whole)",KG,1.45,2.0349
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,"meat, fish and eggs",Meat (lamb),KG,9.6,13.5249
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,milk and dairy,Cheese (picon),160 G,0.75,1.0562
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,milk and dairy,"Cheese (white, boiled)",KG,6.0,8.4496
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,milk and dairy,Milk (pasteurized),L,1.2,1.6899
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,miscellaneous food,Salt (iodised),750 G,0.25,0.3521
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,miscellaneous food,Sugar,KG,0.77,1.083
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,non-food,Fuel (gas),12.5 KG,7.0,9.8578
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,non-food,Fuel (kerosene),L,0.47,0.6548
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,non-food,Fuel (petrol-gasoline),L,0.62,0.8731
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,oil and fats,Oil (olive),L,5.93,8.3496
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,oil and fats,Oil (vegetable),1.8 L,1.83,2.5729
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,pulses and nuts,"Beans (fava, dry)",KG,1.69,2.3743
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,pulses and nuts,Chickpeas,KG,2.5,3.5207
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,pulses and nuts,Lentils,KG,1.3,1.8307
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,vegetables and fruits,Apples (red),KG,1.28,1.7998
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,vegetables and fruits,Bananas,KG,0.72,1.0182
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,vegetables and fruits,Cucumbers,KG,0.6,0.8492
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,vegetables and fruits,Garlic,KG,3.0,4.2248
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,vegetables and fruits,Onions,KG,0.59,0.8379
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,vegetables and fruits,Spinach,KG,0.31,0.4352
2017-01-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,vegetables and fruits,Tomatoes,KG,0.29,0.4126
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,cereals and tubers,Bread (pita),KG,0.15,0.2112
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,cereals and tubers,Bulgur,KG,0.82,1.1505
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,cereals and tubers,Pasta,300 G,0.38,0.5351
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,cereals and tubers,Potatoes,KG,0.89,1.2463
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,cereals and tubers,Rice (imported),KG,1.13,1.5956
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,"meat, fish and eggs",Eggs,2 KG,3.03,4.2684
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,"meat, fish and eggs","Fish (tuna, canned)",170 G,1.0,1.4083
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,"meat, fish and eggs",Meat (beef),KG,7.78,10.9492
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,"meat, fish and eggs",Meat (chicken),KG,2.52,3.5446
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,"meat, fish and eggs","Meat (chicken, whole)",KG,1.54,2.1744
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,"meat, fish and eggs",Meat (lamb),KG,8.7,12.2519
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,milk and dairy,Cheese (picon),160 G,0.73,1.0323
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,milk and dairy,"Cheese (white, boiled)",KG,5.0,7.0413
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,milk and dairy,Milk (pasteurized),L,1.2,1.6899
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,miscellaneous food,Salt (iodised),750 G,0.21,0.2929
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,miscellaneous food,Sugar,KG,0.72,1.021
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,non-food,Fuel (gas),12.5 KG,7.0,9.8578
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,non-food,Fuel (kerosene),L,0.47,0.6548
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,non-food,Fuel (petrol-gasoline),L,0.62,0.8731
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,oil and fats,Oil (olive),L,5.0,7.0413
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,oil and fats,Oil (vegetable),1.8 L,1.78,2.5109
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,pulses and nuts,"Beans (fava, dry)",KG,1.5,2.1124
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,pulses and nuts,Chickpeas,KG,1.67,2.3476
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,pulses and nuts,Lentils,KG,1.5,2.1124
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,vegetables and fruits,Apples (red),KG,1.0,1.4083
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,vegetables and fruits,Bananas,KG,0.68,0.9618
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,vegetables and fruits,Cucumbers,KG,0.67,0.9393
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,vegetables and fruits,Garlic,KG,2.0,2.8165
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,vegetables and fruits,Onions,KG,0.52,0.7281
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,vegetables and fruits,Spinach,KG,0.35,0.4943
2017-01-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,vegetables and fruits,Tomatoes,KG,0.27,0.3774
2017-01-15,Amman,Al_Qwaismeh District,Amman,31.913320541381836,35.96791076660156,cereals and tubers,Bread (pita),KG,0.17,0.2338
2017-01-15,Amman,Al_Qwaismeh District,Amman,31.913320541381836,35.96791076660156,cereals and tubers,Bulgur,KG,0.92,1.2956
2017-01-15,Amman,Al_Qwaismeh District,Amman,31.913320541381836,35.96791076660156,cereals and tubers,Pasta,300 G,0.34,0.4844
2017-01-15,Amman,Al_Qwaismeh District,Amman,31.913320541381836,35.96791076660156,cereals and tubers,Potatoes,KG,0.91,1.2773
2017-01-15,Amman,Al_Qwaismeh District,Amman,31.913320541381836,35.96791076660156,cereals and tubers,Rice (imported),KG,1.22,1.7223
2017-01-15,Amman,Al_Qwaismeh District,Amman,31.913320541381836,35.96791076660156,"meat, fish and eggs",Eggs,2 KG,2.89,4.0755
2017-01-15,Amman,Al_Qwaismeh District,Amman,31.913320541381836,35.96791076660156,"meat, fish and eggs","Fish (tuna, canned)",170 G,0.92,1.2914
2017-01-15,Amman,Al_Qwaismeh District,Amman,31.913320541381836,35.96791076660156,"meat, fish and eggs",Meat (beef),KG,7.82,11.0182
2017-01-15,Amman,Al_Qwaismeh District,Amman,31.913320541381836,35.96791076660156,"meat, fish and eggs",Meat (chicken),KG,2.31,3.2545
2017-01-15,Amman,Al_Qwaismeh District,Amman,31.913320541381836,35.96791076660156,"meat, fish and eggs","Meat (chicken, whole)",KG,1.52,2.1462
2017-01-15,Amman,Al_Qwaismeh District,Amman,31.913320541381836,35.96791076660156,"meat, fish and eggs",Meat (lamb),KG,8.09,11.3942
2017-01-15,Amman,Al_Qwaismeh District,Amman,31.913320541381836,35.96791076660156,milk and dairy,Cheese (picon),160 G,0.73,1.0351
2017-01-15,Amman,Al_Qwaismeh District,Amman,31.913320541381836,35.96791076660156,milk and dairy,"Cheese (white, boiled)",KG,5.36,7.5539
2017-01-15,Amman,Al_Qwaismeh District,Amman,31.913320541381836,35.96791076660156,milk and dairy,Milk (pasteurized),L,1.15,1.6223
